org_state,n_orgs,state_total_millions,hhi,top_org_pct
CA,24,117.01,0.1144,21.1
NY,17,94.05,0.3304,55.7
MA,19,86.85,0.3563,56.3
NC,8,55.13,0.252,32.9
PA,11,50.66,0.1927,25.5
WA,5,40.3,0.3011,38.6
TX,17,40.02,0.1347,24.3
IL,7,38.94,0.4225,50.3
WI,4,33.43,0.8816,93.8
OH,8,24.66,0.2698,34.3
FL,10,24.49,0.2167,37.5
MD,12,24.33,0.1839,31.2
MI,4,18.1,0.4403,59.8
IA,1,16.53,1.0,100.0
MN,2,16.51,0.5567,66.8
MO,3,15.12,0.7967,88.6
CT,3,13.46,0.7859,88.2
CO,2,13.0,0.8172,89.8
VA,4,12.75,0.3925,50.8
NJ,5,12.19,0.2297,29.6
RI,5,11.58,0.4097,47.2
OR,2,10.96,0.9363,96.7
TN,5,10.69,0.4091,53.7
NM,2,8.62,0.609,73.3
MT,1,7.51,1.0,100.0
GA,4,7.33,0.3209,42.6
IN,3,6.63,0.8778,93.6
KY,3,6.36,0.3725,49.4
DC,3,6.09,0.5806,73.7
AR,3,4.88,0.5104,65.1
ME,1,4.36,1.0,100.0
NE,2,4.34,0.9389,96.8
SC,2,3.9,0.5122,57.8
NH,1,3.49,1.0,100.0
AZ,2,3.16,0.716,82.9
KS,2,1.79,0.6387,76.3
PR,1,1.62,1.0,100.0
AL,2,1.25,0.5792,69.9
VT,1,0.72,1.0,100.0
LA,1,0.7,1.0,100.0
UT,2,0.64,0.5,50.3
MS,1,0.55,1.0,100.0
OK,2,0.31,0.5037,54.3
NV,1,0.15,1.0,100.0
SD,1,0.04,1.0,100.0
