org_name,n_projects,total_award_millions,rank,share_pct
COLUMBIA UNIVERSITY HEALTH SCIENCES,105,52.34,1,5.74
"ALZHEON, INC.",6,48.92,2,5.37
UNIVERSITY OF WISCONSIN-MADISON,9,31.35,3,3.44
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",52,24.68,4,2.71
UNIVERSITY OF CHICAGO,27,19.58,5,2.15
DUKE UNIVERSITY,44,18.14,6,1.99
WAKE FOREST UNIVERSITY HEALTH SCIENCES,22,16.56,7,1.82
UNIVERSITY OF IOWA,40,16.53,8,1.81
UNIVERSITY OF CALIF-LAWRENC BERKELEY LAB,13,16.23,9,1.78
DIVISION OF BASIC SCIENCES - NCI,18,16.14,10,1.77
NORTHWESTERN UNIVERSITY,40,15.86,11,1.74
UNIVERSITY OF WASHINGTON,27,15.56,12,1.71
BRIGHAM AND WOMEN'S HOSPITAL,32,15.25,13,1.67
SANFORD BURNHAM PREBYS MEDICAL DISCOVERY INSTITUTE,23,14.51,14,1.59
BATTELLE PACIFIC NORTHWEST LABORATORIES,9,14.07,15,1.54
WASHINGTON UNIVERSITY,26,13.4,16,1.47
"UNIVERSITY OF CALIFORNIA, SAN DIEGO",34,13.23,17,1.45
UNIVERSITY OF PENNSYLVANIA,37,12.92,18,1.42
CHILDREN'S HOSP OF PHILADELPHIA,9,12.27,19,1.35
YALE UNIVERSITY,29,11.87,20,1.3
UNIV OF NORTH CAROLINA CHAPEL HILL,19,11.77,21,1.29
UNIVERSITY OF COLORADO DENVER,28,11.68,22,1.28
WISTAR INSTITUTE,19,11.28,23,1.24
UNIVERSITY OF CALIFORNIA BERKELEY,12,11.22,24,1.23
UNIVERSITY OF MINNESOTA,16,11.03,25,1.21
